,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
337,3,3,1.0,BA,1.0,650.5
338,11,3,1.0,,0.0,
339,3,3,1.0,,1.0,642.0
340,10,1,3.0,,0.0,
341,2,3,1.0,MG,1.0,606.3
342,8,3,1.0,,1.0,578.3
343,12,1,,,1.0,743.5
344,7,3,1.0,,1.0,668.6
345,3,1,1.0,SC,1.0,499.8
346,2,1,1.0,RN,1.0,423.8
347,2,2,3.0,,0.0,
348,12,3,3.0,,0.0,
349,11,1,1.0,,0.0,
350,2,3,,,1.0,562.7
351,12,3,1.0,,0.0,
352,3,4,1.0,CE,1.0,512.3
353,11,1,3.0,,1.0,524.6
354,5,1,3.0,RS,1.0,542.2
355,12,3,1.0,,1.0,506.3
356,9,3,,,1.0,535.0
357,4,1,1.0,,0.0,
358,3,1,,,1.0,534.5
359,5,1,1.0,,1.0,430.8
360,4,1,1.0,RS,0.0,
361,3,3,1.0,PB,1.0,640.8
362,7,3,1.0,RN,0.0,
363,2,3,1.0,CE,1.0,737.3
364,5,1,,,1.0,467.6
365,11,3,1.0,,1.0,452.6
366,4,1,,,1.0,462.2
367,10,2,,,1.0,457.2
368,2,2,1.0,SP,1.0,520.2
369,9,1,1.0,,0.0,
370,4,3,1.0,,0.0,
371,3,1,1.0,,1.0,751.2
372,9,1,1.0,,1.0,704.3
373,3,3,1.0,MT,1.0,573.2
374,4,3,1.0,,1.0,539.9
375,2,1,1.0,CE,1.0,711.3
376,12,3,3.0,,0.0,
377,13,1,1.0,,1.0,438.2
378,2,2,,,1.0,456.4
379,4,3,,,1.0,398.8
380,3,0,1.0,,1.0,652.2
381,4,1,1.0,,0.0,
382,7,3,1.0,,1.0,516.1
383,3,3,1.0,PA,1.0,395.7
384,3,3,1.0,,1.0,435.0
385,2,3,1.0,MG,1.0,544.5
386,4,2,3.0,RJ,1.0,437.4
387,13,2,1.0,,0.0,
388,12,1,1.0,,0.0,
389,3,1,1.0,,0.0,
390,3,1,1.0,RJ,1.0,482.9
391,5,1,,,1.0,461.0
392,11,3,,,1.0,491.6
393,11,3,1.0,,0.0,
394,4,3,1.0,,1.0,575.7
395,11,4,1.0,,0.0,
396,7,3,,,1.0,552.9
397,4,1,1.0,,1.0,568.5
398,8,3,1.0,,1.0,463.4
399,5,3,1.0,,1.0,475.6
400,5,3,,,1.0,573.6
401,9,3,,,1.0,479.3
402,14,3,,,1.0,495.9
